Met file for SINGLE TREE IN 4x4 

&environ		
difsky = 0.0
SWMIN = 0.05
SWMAX = 0.36
/		

&latlong		
lat=37	47	0
long=144	58	0
tzlong=150		
lonhem='E'		
lathem='S'		
/		

&metformat		
dayorhr=1												
khrsperday=48
nocolumns=9
startdate='09/02/12'												
enddate='15/05/12'												
columns=	'DATE'	'RAD'	'TAIR'	'PRESS'	'RH%'	'TDEW'	'WIND'	'CA'	'PPT'	
/												

DATA STARTS
42	740.92	21.26	101380	58.57	13.7	2.31	431.36	0
42	781.92	21.55	101370	58.33	13.3	2.3	433.7	0
42	635.7	21.25	101350	58.46	13.7	2.45	436.03	0
42	600.63	21.19	101330	59.88	14.2	2.58	436.02	0
42	568.7	21.04	101290	58.44	12.7	2.26	436.01	0
42	366.02	21.65	101280	56.4	13	2.23	435.43	0
42	521.27	21.15	101260	59.05	13.4	2.15	434.85	0
42	502.88	20.95	101250	58.87	12.6	2.3	431.32	0
42	430.17	20.64	101240	60.49	13.1	2.2	427.8	0
42	519.43	20.15	101230	63.03	13.4	1.98	429.97	0
42	342.65	19.63	101230	66.42	14.4	1.74	432.14	0
42	202.55	19.4	101240	68.64	14.4	1.59	434.69	0
42	206.55	19.03	101280	70.98	14.2	1.51	437.24	0
42	64.13	18.5	101290	73.74	14.2	1.55	440.9	0
42	10.19	18.28	101310	74.78	14.3	1.01	444.55	0
42	1.57	18.34	101350	74.08	14.3	0.93	450.3	0
42	0	18.53	101380	73.23	14.2	0.92	456.06	0
42	0	18.45	101410	72.76	14.2	0.91	453.02	0
42	0	18.27	101430	73.2	13.9	1	449.99	0
42	0	18.09	101440	70.47	12.3	1.29	452.69	0
42	0	17.87	101460	70.69	12.9	1.79	455.39	0
42	0	17.46	101480	73.66	13	1.81	456.81	0
43	0	17.21	101510	75.01	13.4	1.85	458.24	0
43	0	17.03	101510	76.38	13.3	1.6	460.75	0
43	0	16.87	101520	76.74	13	1.54	463.27	0
43	0	16.79	101540	75.72	12.8	1.13	464.69	0
43	0	16.69	101520	76.1	12.7	1.08	466.11	0
43	0	16.54	101520	76.35	12.6	1.06	467.67	0
43	0	16.43	101510	76.81	12.7	1.04	469.24	0
43	0	16.29	101510	77.71	12.9	0.92	467.19	0
43	0	16.14	101500	78.82	12.9	1.04	465.14	0
43	0	16.1	101530	79.87	13	0.88	469.96	0
43	0	16.04	101550	80.69	13.3	0.65	474.78	0
43	0	16.01	101590	81.05	13.5	0.84	474.24	0
43	0	15.75	101620	82.15	13.4	0.57	473.71	0
43	0	15.81	101650	81.7	13.5	0.43	475.61	0
43	5.41	16.15	101670	79.46	12.9	0.98	477.51	0
43	51.59	16.89	101680	75.54	12.8	1.58	473.43	0
43	162.5	17.51	101710	72.45	13.2	1.85	469.34	0
43	262.35	18.5	101720	67.88	12.8	1.73	462.07	0
43	383.6	19.14	101710	64.64	13	1.94	454.8	0
43	399.5	20.21	101720	60.48	12.6	2.01	446.89	0
43	598.97	20.72	101720	57.81	12	2.28	438.98	0
43	387.1	21.3	101700	55.33	12.3	2.2	435.69	0
43	612.27	22.49	101690	51.32	13.1	2.15	432.4	0
43	689.33	22.28	101690	52.59	12.1	2.34	425.98	0
43	1105.33	22.27	101650	53.14	12.7	2.04	419.56	0
43	644.53	22.67	101630	51.82	12	2.17	422.27	0
43	588.17	22.85	101610	51.97	14.3	2.15	424.98	0
43	782.25	22.41	101600	55.65	13.8	2.06	423.57	0
43	558.72	22.11	101630	57.48	16.1	2.35	422.16	20
